,cityname,pname,Mix,Shape_Length,Shape_Area,citynameUP,prUP
34,昌都市,西藏自治区,0.850946292148898,29.942854424696662,10.34981140264568,CD,XZ
35,昌吉回族自治州,新疆维吾尔自治区,0.62716356176656,21.318346524362312,8.294014720603418,CJ,XJ
36,昌江黎族自治县,海南省,0.549061455823354,2.497815045859218,0.136982253844989,CJ,HN
37,常德市,湖南省,0.590775054071817,10.354815340608342,1.687952174479577,CD,HN
38,常州市,江苏省,0.581968080618999,5.847717859055962,0.415484373954301,CZ,JS
39,朝阳市,辽宁省,0.559142139251605,11.627523039601009,2.124791644526559,ZY,LN
40,潮州市,广东省,0.646013670065666,4.347975934102359,0.275918661987613,CZ,GD
41,郴州市,湖南省,0.572881174334439,11.886178278839468,1.741317764770393,CZ,HN
42,成都市,四川省,0.661010066317332,8.159572412781745,1.348936192667501,CD,SC
43,承德市,河北省,0.719172305775124,15.239512424620832,4.248964023316505,CD,HB
44,澄迈县,海南省,0.667811597096244,3.604797313586181,0.176964506512923,CM,HN
45,池州市,安徽省,0.668760147676127,6.095302064134123,0.788122922884561,CZ,AH
46,赤峰市,内蒙古自治区,0.581230907252741,23.173752381501824,9.63049051666368,CF,NM
47,崇左市,广西壮族自治区,0.581778333783988,8.40131532028668,1.52282334678686,CZ,GX
48,滁州市,安徽省,0.56854172247907,8.986800637996584,1.297735551124385,CZ,AH
49,楚雄彝族自治州,云南省,0.614452857492797,10.57254836762446,2.550232781778994,CX,YN
50,达州市,四川省,0.602024309785582,10.6221985346042,1.572515146881372,DZ,SC
51,大理白族自治州,云南省,0.677580617863077,11.33413667005115,2.545578106742927,DL,YN
52,大连市,辽宁省,0.641733647856498,18.438911109997367,1.392996809136899,DL,LN
53,大庆市,黑龙江省,0.604693811061181,12.548709151092048,2.476915542929841,DQ,HL
54,大同市,山西省,0.629104728012496,9.588242572649133,1.480651065765992,DT,SX
55,大兴安岭地区,黑龙江省,0.709204092963568,20.67285082661064,8.537771276699308,DX,HL
56,儋州市,海南省,0.579680493007914,4.850763777651509,0.281288020168527,DZ,HN
57,德宏傣族景颇族自治州,云南省,0.546181215567076,6.621528460658126,0.995788806935894,DH,YN
58,德阳市,四川省,0.610413173784193,5.658531851749813,0.55901428414197,DY,SC
59,德州市,山东省,0.58678987918789,8.864368736686872,1.051796137310672,DZ,SD
60,迪庆藏族自治州,云南省,0.752947788180819,11.962017385991167,2.127243559356667,DQ,YN
61,定安县,海南省,0.62357306489656,2.543207824123032,0.102961742214373,DA,HN
62,定西市,甘肃省,0.619810455194975,12.394814474653147,1.939324549166437,DX,GS
63,东方市,海南省,0.577311391938924,2.180627946025754,0.194068007268584,DF,HN
64,东莞市,广东省,0.623304475000935,2.710622055456583,0.215649746239402,DG,GD
65,东营市,山东省,0.600665775842381,7.881532062198541,0.731452235303461,DY,SD
66,鄂尔多斯市,内蒙古自治区,0.757020893832207,19.011846538742937,9.085852644539164,EE,NM
67,鄂州市,湖北省,0.613319202232871,2.677014077424188,0.148360705250848,EZ,HB
68,恩施土家族苗族自治州,湖北省,0.660268750542513,13.964388244600848,2.253974135294083,ES,HB
69,防城港市,广西壮族自治区,0.617392286261945,6.474263963872991,0.523886817038745,FC,GX
70,佛山市,广东省,0.595107310524633,5.483774430453711,0.334337514611988,FS,GD
71,福州市,福建省,0.521518976050063,14.009154741107835,1.057099959271706,FZ,FJ
72,抚顺市,辽宁省,0.706615554966799,7.876478705100204,1.222054691565951,FS,LN
73,抚州市,江西省,0.613790698114771,9.510469315769315,1.717276787544833,FZ,JX
74,阜新市,辽宁省,0.592484139150914,7.227870940831804,1.126753232609346,FX,LN
75,阜阳市,安徽省,0.524521013859281,7.299298875309268,0.975368072801373,FY,AH
76,甘南藏族自治州,甘肃省,0.584438703979147,20.25864297013074,3.588772356210421,GN,GS
77,甘孜藏族自治州,四川省,0.796228089491889,31.99837996040028,14.132366322315294,GZ,SC
78,赣州市,江西省,0.51724085403011,16.091153395266538,3.540568018113168,GZ,JX
79,固原市,宁夏回族自治区,0.549019406603961,8.720061627211283,1.051160087746271,GY,NX
80,广安市,四川省,0.60064642878947,6.289966632643233,0.595479880991149,GA,SC
81,广元市,四川省,0.686059448223599,9.411902934222788,1.561754897088032,GY,SC
82,广州市,广东省,0.642802145468407,6.794964037643664,0.637083123565432,GZ,GD
83,贵港市,广西壮族自治区,0.519842544366707,7.190535824257918,0.936373905976422,GG,GX
84,贵阳市,贵州省,0.60358152730119,6.536573463950949,0.73036846959165,GY,GZ
85,桂林市,广西壮族自治区,0.595028472057551,11.005938909091812,2.480797818050281,GL,GX
86,果洛藏族自治州,青海省,0.955386933722137,19.789667113126537,7.255910292051215,GL,QH
87,哈尔滨市,黑龙江省,0.633040453250348,18.957407169037584,6.125440030571343,HE,HL
88,哈密市,新疆维吾尔自治区,0.636800481715615,20.019594227174725,15.093278421023005,HM,XJ
89,海北藏族自治州,青海省,0.799402040952458,17.211024834505036,3.516062089400556,HB,QH
90,海东市,青海省,0.59501713520987,7.577929823205782,1.303797784739912,HD,QH
91,海口市,海南省,0.645272859048138,3.250786587196886,0.192832157144041,HK,HN
92,海南藏族自治州,青海省,0.727039230474991,13.886744895062565,4.362128513365357,HN,QH
93,海西蒙古族藏族自治州,青海省,0.761934984151196,46.621641866393794,30.34988020082497,HX,QH
94,邯郸市,河北省,0.656375864834473,8.048588956929857,1.214907004569395,HD,HB
95,汉中市,陕西省,0.616719999084154,12.46715210630817,2.616664112544187,HZ,SX
96,杭州市,浙江省,0.660157639770248,9.99303029316615,1.573586554199653,HZ,ZJ
97,合肥市,安徽省,0.613252049604197,7.424301431614524,1.087586353357946,HF,AH
98,和田地区,新疆维吾尔自治区,0.604023308601508,30.371602855570497,25.069430259977903,HT,XJ
99,河池市,广西壮族自治区,0.510475468146566,14.078753585783168,2.985469548824018,HC,GX
100,河源市,广东省,0.645419966339979,8.985402214440338,1.389607797805212,HY,GD
