,cityname,pname,Mix,Shape_Length,Shape_Area,citynameUP,prUP
172,六安市,安徽省,0.566314214938782,8.322040540128913,1.469591656476653,LA,AH
173,六盘水市,贵州省,0.563169367452121,7.953723645576641,0.894840284604325,LP,GZ
174,龙岩市,福建省,0.565753333362655,9.909385137734736,1.705424177734616,LY,FJ
175,陇南市,甘肃省,0.681946292551703,13.668953713962138,2.704760149280447,LN,GS
176,娄底市,湖南省,0.555060693060087,7.562624297563565,0.742098174251863,LD,HN
177,泸州市,四川省,0.614114567267854,9.882074116951248,1.126899632322143,LZ,SC
178,洛阳市,河南省,0.624537862924074,8.626340661574885,1.491691204322978,LY,HN
179,漯河市,河南省,0.574455632745974,3.582873844376635,0.261960124219768,TH,HN
180,吕梁市,山西省,0.573813295926187,9.600499391568842,2.159540622146054,LL,SX
181,马鞍山市,安徽省,0.621912994476414,4.667431400925649,0.386438052858028,MA,AH
182,茂名市,广东省,0.543089435298707,8.56062316690825,0.992270849287707,MM,GD
183,眉山市,四川省,0.649763699896961,7.790822105573423,0.666882169673265,MS,SC
184,梅州市,广东省,0.644462147995022,8.631751048058002,1.409900526273307,MZ,GD
185,绵阳市,四川省,0.670805494820355,12.218489130087477,1.930294813600079,MY,SC
186,牡丹江市,黑龙江省,0.611266270787707,14.934221868852912,4.397278308863537,MD,HL
187,那曲市,西藏自治区,0.868508235329951,49.39032035308654,33.97085803682517,NQ,XZ
188,南昌市,江西省,0.6353390577758,5.757903490499851,0.663461464271201,NC,JX
189,南充市,四川省,0.667466065090016,8.051563041181824,1.181208955655803,NC,SC
190,南京市,江苏省,0.652535748273874,7.029716002016797,0.628155674475877,NJ,JS
191,南宁市,广西壮族自治区,0.577367227558968,11.488665181101204,1.947307822635906,NN,GX
192,南平市,福建省,0.527463038351176,12.37747186167416,2.397597777647559,NP,FJ
193,南通市,江苏省,0.662548427475082,6.532277457699852,0.909542452384263,NT,JS
194,南阳市,河南省,0.662813965245298,11.491351429069256,2.559137799453213,NY,HN
195,内江市,四川省,0.599505762073791,6.485910927696502,0.501551602940593,NJ,SC
196,宁波市,浙江省,0.618735595973477,12.232024870338629,0.892484625876494,NB,ZJ
197,宁德市,福建省,0.535079345537763,16.758147961227834,1.187204002546994,ND,FJ
198,怒江傈僳族自治州,云南省,0.649168992805868,10.910499042167556,1.327334087531115,NJ,YN
199,攀枝花市,四川省,0.672116993931737,6.392049428710299,0.671675017369362,PZ,SC
200,盘锦市,辽宁省,0.610604110999553,5.632680977646928,0.39488308873235,PJ,LN
201,平顶山市,河南省,0.637006547284208,6.440322446807203,0.77000085234077,PD,HN
202,平凉市,甘肃省,0.54670444787671,10.920965763301425,1.101864055614886,PL,GS
203,萍乡市,江西省,0.616760903424285,4.209592760447062,0.350068054908239,PX,JX
204,莆田市,福建省,0.476018623978986,5.803287853711519,0.35285428550371,PT,FJ
205,濮阳市,河南省,0.596506799919046,5.446031285914022,0.425710235749982,PY,HN
206,普洱市,云南省,0.581734108763805,15.014700502881157,3.90502307825454,PE,YN
207,七台河市,黑龙江省,0.65078317157656,6.120307045760281,0.641309673464091,QT,HL
208,齐齐哈尔市,黑龙江省,0.623572511222616,18.503148090221327,5.064172537965471,QQ,HL
209,潜江市,湖北省,0.595626954631012,2.919043177763562,0.18730043295033,QJ,HB
210,黔东南苗族侗族自治州,贵州省,0.590969869153066,15.744960097967924,2.742270563160193,QD,GZ
211,黔南布依族苗族自治州,贵州省,0.596250868904744,15.935461110804166,2.361596710020242,QN,GZ
212,黔西南布依族苗族自治州,贵州省,0.516376796175511,9.06918973802315,1.505741674062538,QX,GZ
213,钦州市,广西壮族自治区,0.490225305778056,8.757737848366617,0.936420358615706,QZ,GX
214,秦皇岛市,河北省,0.755432438716622,5.597730954607468,0.823495969269184,QH,HB
215,青岛市,山东省,0.632379028167264,11.031605263391032,1.110746207897811,QD,SD
216,清远市,广东省,0.613226921842026,9.383003336103917,1.692983222204432,QY,GD
217,庆阳市,甘肃省,0.526870670099212,11.762634557764702,2.716419453984011,QY,GS
218,琼海市,海南省,0.657414653639357,2.581414445590029,0.144983477188536,QH,HN
219,琼中黎族苗族自治县,海南省,0.525967274133405,3.098341771805795,0.232175755920842,QZ,HN
220,曲靖市,云南省,0.584148815684318,12.907367049433772,2.60139303254482,QJ,YN
221,衢州市,浙江省,0.637512638605855,6.612891557739108,0.818378852580496,QZ,ZJ
222,泉州市,福建省,0.431445411036384,10.030067073503528,1.002148870453487,QZ,FJ
223,日喀则市,西藏自治区,0.792295352566717,40.75670403027135,16.66603309443684,RK,XZ
224,日照市,山东省,0.627591373646178,5.285518936548445,0.53073168232574,RZ,SD
225,三门峡市,河南省,0.706312090342141,7.825715817283917,0.973375305789147,SM,HN
226,三明市,福建省,0.545152818632686,11.61288450222608,2.075571019118811,SM,FJ
227,三亚市,海南省,0.668122782333315,3.808814799408228,0.162692503700247,SY,HN
228,厦门市,福建省,0.486075891430662,3.264356672074037,0.141716513490388,XM,FJ
229,山南市,西藏自治区,0.626214661490852,16.683404170098395,7.260109919530024,SN,XZ
230,汕头市,广东省,0.648406685487506,4.150780253392226,0.192184078755742,ST,GD
231,汕尾市,广东省,0.671261688945095,6.231000475511816,0.424512677306788,SW,GD
232,商洛市,陕西省,0.629376618139039,9.408539277438567,1.903381219963594,SL,SX
233,商丘市,河南省,0.596997097916729,7.46092978934465,1.047756594316104,SQ,HN
234,上海市,上海市,0.672445178155467,6.412778030441544,0.776491307466251,SH,SH
235,上饶市,江西省,0.577642118676923,13.768031487492228,2.101510982859944,SR,JX
236,韶关市,广东省,0.663256777087422,11.25513168148868,1.64387408428064,SG,GD
237,邵阳市,湖南省,0.554312079281348,9.858933095900143,1.891713528355468,SY,HN
238,绍兴市,浙江省,0.58898784231177,6.58699256725942,0.771658929888423,SX,ZJ
239,深圳市,广东省,0.599017962805653,3.769464226682506,0.171135047397885,SZ,GD
240,神农架林区,湖北省,0.749726381969189,3.474525120575092,0.307340706451623,SN,HB
241,沈阳市,辽宁省,0.635399060867917,9.514207852940702,1.400583277405687,SY,LN
242,十堰市,湖北省,0.590339227456495,11.622981288095849,2.271576374295779,SY,HB
243,石河子市,新疆维吾尔自治区,0.56966012533299,1.163494681611742,0.051765210241074,SH,XJ
244,石家庄市,河北省,0.615351923797184,8.17472255756627,1.444548026716355,SJ,HB
245,石嘴山市,宁夏回族自治区,0.614687617551689,3.253863896688144,0.424720095581143,SZ,NX
