Shape_Length,Shape_Area,city,Level1,Level2,Level3,UID,StationNum,Ratio_1,Ratio_1Type
2.452529896833554,0.224870164374038,US.AL.WC,US,Alabama,Wilcox,US.AL.WC,0,,
1.679171670970256,0.159985870455134,US.AL.WN,US,Alabama,Winston,US.AL.WN,0,,
57.709555062768921,2.533498588751368,US.AK.AE,US,Alaska,Aleutians East,US.AK.AE,0,,
74.501401980538404,1.555612207353657,US.AK.AW,US,Alaska,Aleutians West,US.AK.AW,0,,
5.442016781025425,0.744720263552886,US.AK.AN,US,Alaska,Anchorage,US.AK.AN,0,,
74.899954920530874,17.886203312543635,US.AK.BE,US,Alaska,Bethel,US.AK.BE,0,,
2.496105636415307,0.203078450770943,US.AK.BR,US,Alaska,Bristol Bay,US.AK.BR,0,,
15.412960341012296,5.583377307566411,US.AK.DE,US,Alaska,Denali,US.AK.DE,0,,
20.528831087935721,7.783926115508264,US.AK.DI,US,Alaska,Dillingham,US.AK.DI,0,,
13.097033561419925,3.639806006914342,US.AK.FA,US,Alaska,Fairbanks North Star,US.AK.FA,0,,
12.332789043704731,0.965009304031104,US.AK.HA,US,Alaska,Haines,US.AK.HA,0,,
13.041884982560878,1.106329717063286,US.AK.JU,US,Alaska,Juneau,US.AK.JU,0,,
53.835271588449707,6.952268221738086,US.AK.KN,US,Alaska,Kenai Peninsula,US.AK.KN,0,,
12.418420418426303,0.469896379463657,US.AK.KT,US,Alaska,Ketchikan Gateway,US.AK.KT,0,,
74.396309619158231,2.629477823074271,US.AK.KO,US,Alaska,Kodiak Island,US.AK.KO,0,,
42.109599485673201,10.691003993788053,US.AK.LA,US,Alaska,Lake and Peninsula,US.AK.LA,0,,
31.343845294156996,11.121400192297971,US.AK.MA,US,Alaska,Matanuska-Susitna,US.AK.MA,0,,
68.339633078634023,11.254052443425360,US.AK.NM,US,Alaska,Nome,US.AK.NM,0,,
121.523392685912242,52.832275725226268,US.AK.NH,US,Alaska,North Slope,US.AK.NH,0,,
64.737655604629651,19.284312762572839,US.AK.NW,US,Alaska,Northwest Arctic,US.AK.NW,0,,
99.346080342800676,2.844476179623254,US.AK.PR,US,Alaska,Prince of Wales-Outer Ketchi,US.AK.PR,0,,
42.869321254872197,1.152506238055973,US.AK.SI,US,Alaska,Sitka,US.AK.SI,0,,
86.565687319725754,5.246969220406276,US.AK.SK,US,Alaska,Skagway-Yakutat-Angoon,US.AK.SK,0,,
23.983712778794121,12.376653339296524,US.AK.SO,US,Alaska,Southeast Fairbanks,US.AK.SO,0,,
90.437905630108958,16.346622910560523,US.AK.VA,US,Alaska,Valdez-Cordova,US.AK.VA,0,,
46.996042759898245,7.978560999621820,US.AK.WA,US,Alaska,Wade Hampton,US.AK.WA,0,,
59.010832264491071,2.268146668795910,US.AK.WR,US,Alaska,Wrangell-Petersburg,US.AK.WR,0,,
63.000790197238267,73.829541652380129,US.AK.YU,US,Alaska,Yukon-Koyukuk,US.AK.YU,0,,
9.003757198178084,2.876892376688233,US.AZ.AP,US,Arizona,Apache,US.AZ.AP,0,,
5.020155142495860,1.528410520098065,US.AZ.CH,US,Arizona,Cochise,US.AZ.CH,0,,
