city,distance,totalNum,NumAll,ratioAll,ratioAll_Baseline,NumAll_PaR,totalAll_PaR,ratioAll_PaR,NumNormal,ratioNormal,ratioNormal_Baseline,NumNormal_PaR,totalNormal_PaR,ratioNormal_PaR,NumTerminal,ratioTerminal,ratioTerminal_Baseline,NumTerminal_PaR,totalTerminal_PaR,ratioTerminal_PaR,NumTrans,ratioTrans,ratioTrans_Baseline,NumTrans_PaR,totalTrans_PaR,ratioTrans_PaR
CN.AH.HF,10.0,1264.0,0.0,0.0,4.691763139621267e-06,0.0,19577.0,0.0,0.0,0.0,3.4296511785495957e-06,0.0,19577.0,0.0,0.0,0.0,3.292467768224041e-07,0.0,19577.0,0.0,0.0,0.0,9.603024474250642e-07,0.0,19577.0,0.0
CN.AH.HF,20.0,1264.0,0.0,0.0,1.876705583828295e-05,0.0,19577.0,0.0,0.0,0.0,1.3718607346844466e-05,0.0,19577.0,0.0,0.0,0.0,1.3169864345723103e-06,0.0,19577.0,0.0,0.0,0.0,1.5364841456732946e-05,2.0,19577.0,0.00010216069877917965
CN.AH.HF,30.0,1264.0,0.0,0.0,4.2225873730564065e-05,5.0,19577.0,0.0002554017469479491,0.0,0.0,3.086686637242196e-05,3.0,19577.0,0.00015324104816876946,0.0,0.0,2.9632187694464847e-06,0.0,19577.0,0.0,0.0,0.0,5.761815131546213e-06,2.0,19577.0,0.00010216069877917965
CN.AH.HF,40.0,1264.0,0.0,0.0,7.506822271587709e-05,17.0,19577.0,0.000868365939623027,0.0,0.0,5.487443085518606e-05,14.0,19577.0,0.0007151248914542576,0.0,0.0,5.267945870990795e-06,0.0,19577.0,0.0,0.0,0.0,1.2483932939134238e-05,3.0,19577.0,0.00015324104816876946
CN.AH.HF,50.0,1264.0,2.0,0.0015822784810126582,0.00011729409830924352,30.0,19577.0,0.0015324104816876948,2.0,0.0015822784810126582,8.574129967563747e-05,27.0,19577.0,0.0013791694335189254,0.0,0.0,8.231164966227625e-06,0.0,19577.0,0.0,0.0,0.0,2.4007563957373e-05,3.0,19577.0,0.00015324104816876946
CN.AH.HF,60.0,1264.0,5.0,0.003955696202531646,0.00016890350682464313,47.0,19577.0,0.002400776421310722,4.0,0.0031645569620253164,0.0001234674748392204,36.0,19577.0,0.0018388925780252338,0.0,0.0,1.1852878344348119e-05,1.0,19577.0,5.108034938958982e-05,1.0,0.0007911392405063291,3.457089341887674e-05,10.0,19577.0,0.0005108034938958982
CN.AH.HF,70.0,1264.0,6.0,0.004746835443037975,0.0002298964351382569,72.0,19577.0,0.0036777851560504675,4.0,0.0031645569620253164,0.00016805294973002886,54.0,19577.0,0.0027583388670378507,0.0,0.0,1.6133082931984386e-05,3.0,19577.0,0.00015324104816876946,2.0,0.0015822784810126582,4.705482633454866e-05,15.0,19577.0,0.0007662052408438474
CN.AH.HF,80.0,1264.0,6.0,0.004746835443037975,0.0003002729011116421,97.0,19577.0,0.004954793890790213,4.0,0.0031645569620253164,0.0002194977334356516,72.0,19577.0,0.0036777851560504675,0.0,0.0,2.1071782646500737e-05,3.0,19577.0,0.00015324104816876946,2.0,0.0015822784810126582,6.145936732157032e-05,22.0,19577.0,0.0011237676865709762
CN.AH.HF,90.0,1264.0,10.0,0.007911392405063292,0.00038003288417323873,133.0,19577.0,0.006793686468815447,8.0,0.006329113924050633,0.0002778018165656426,95.0,19577.0,0.004852633192011033,0.0,0.0,2.6668973851181187e-05,4.0,19577.0,0.0002043213975583593,2.0,0.0015822784810126582,7.778450896287303e-05,35.0,19577.0,0.0017878122286356438
CN.AH.HF,100.0,1264.0,10.0,0.007911392405063292,0.00046917639524178783,169.0,19577.0,0.00863257904684068,8.0,0.006329113924050633,0.000342965201900813,121.0,19577.0,0.006180722276140369,0.0,0.0,3.292465822011873e-05,5.0,19577.0,0.0002554017469479491,2.0,0.0015822784810126582,9.603025651126064e-05,44.0,19577.0,0.0022475353731419524
