city,distance,Num,totalNum
资阳市,10.0,1253.8027864448738,5745213560.149332
资阳市,20.0,5015.212784605601,5745213560.149332
资阳市,30.0,11284.23100332815,5745213560.149332
资阳市,40.0,20060.857483574193,5745213560.149332
资阳市,50.0,31345.08150121486,5745213560.149332
资阳市,60.0,45136.93313854998,5745213560.149332
资阳市,70.0,61436.36945279643,5745213560.149332
资阳市,80.0,80243.42408304426,5745213560.149332
资阳市,90.0,101558.09457486258,5745213560.149332
资阳市,100.0,125380.34621113818,5745213560.149332
资阳市,110.0,151710.22079065186,5745213560.149332
资阳市,120.0,180547.71315739726,5745213560.149332
资阳市,130.0,211892.78982768193,5745213560.149332
资阳市,140.0,245745.4884438613,5745213560.149332
资阳市,150.0,282105.77821016405,5745213560.149332
资阳市,160.0,320973.69161900925,5745213560.149332
资阳市,170.0,362349.2020891268,5745213560.149332
资阳市,180.0,406232.3220174825,5745213560.149332
资阳市,190.0,452623.04312650877,5745213560.149332
资阳市,200.0,501521.38582793396,5745213560.149332
资阳市,210.0,552927.33626456,5745213560.149332
资阳市,220.0,606840.883951543,5745213560.149332
资阳市,230.0,663262.0324256318,5745213560.149332
资阳市,240.0,722190.7898668351,5745213560.149332
资阳市,250.0,783627.193248608,5745213560.149332
资阳市,260.0,847571.1604248801,5745213560.149332
资阳市,270.0,914022.7311175246,5745213560.149332
资阳市,280.0,982981.9412136928,5745213560.149332
资阳市,290.0,1054448.7197201424,5745213560.149332
资阳市,300.0,1128423.1142695274,5745213560.149332
资阳市,310.0,1204905.1256598083,5745213560.149332
资阳市,320.0,1283894.7852653523,5745213560.149332
资阳市,330.0,1365391.9502684902,5745213560.149332
资阳市,340.0,1449396.877209444,5745213560.149332
资阳市,350.0,1535909.2744514497,5745213560.149332
资阳市,360.0,1624929.332736205,5745213560.149332
资阳市,370.0,1716456.9829042812,5745213560.149332
资阳市,380.0,1810492.2205389217,5745213560.149332
资阳市,390.0,1907035.0725174416,5745213560.149332
资阳市,400.0,2006085.5181519634,5745213560.149332
资阳市,410.0,2107643.6421771226,5745213560.149332
资阳市,420.0,2211709.343319519,5745213560.149332
资阳市,430.0,2318282.634728195,5745213560.149332
资阳市,440.0,2427363.565413226,5745213560.149332
资阳市,450.0,2538952.109054103,5745213560.149332
资阳市,460.0,2653048.157580548,5745213560.149332
资阳市,470.0,2769651.859134918,5745213560.149332
资阳市,480.0,2888763.1928656017,5745213560.149332
资阳市,490.0,3010382.115013188,5745213560.149332
资阳市,500.0,3134508.6386877615,5745213560.149332
资阳市,510.0,3261142.8403860824,5745213560.149332
资阳市,520.0,3390284.595762341,5745213560.149332
资阳市,530.0,3521933.996268407,5745213560.149332
资阳市,540.0,3656090.8837604066,5745213560.149332
资阳市,550.0,3792755.545787278,5745213560.149332
资阳市,560.0,3931927.6851047333,5745213560.149332
资阳市,570.0,4073607.4293274945,5745213560.149332
资阳市,580.0,4219604.997423947,5745213560.149332
资阳市,590.0,4366362.986962094,5745213560.149332
资阳市,600.0,4515629.601661614,5745213560.149332
资阳市,610.0,4667404.865965089,5745213560.149332
资阳市,620.0,4821688.961898367,5745213560.149332
资阳市,630.0,4978481.672856444,5745213560.149332
资阳市,640.0,5137783.0325988,5745213560.149332
资阳市,650.0,5299593.121059821,5745213560.149332
资阳市,660.0,5463911.885062721,5745213560.149332
资阳市,670.0,5630739.325284053,5745213560.149332
资阳市,680.0,5800075.326263217,5745213560.149332
资阳市,690.0,5971920.190477487,5745213560.149332
资阳市,700.0,6146273.589606865,5745213560.149332
资阳市,710.0,6323135.786792497,5745213560.149332
资阳市,720.0,6504570.992231993,5745213560.149332
资阳市,730.0,6686508.266583301,5745213560.149332
资阳市,740.0,6870954.911136544,5745213560.149332
资阳市,750.0,7057911.151716344,5745213560.149332
资阳市,760.0,7247376.91550268,5745213560.149332
资阳市,770.0,7439352.131198853,5745213560.149332
资阳市,780.0,7633836.780701726,5745213560.149332
资阳市,790.0,7830830.905827698,5745213560.149332
资阳市,810.0,8032843.939591408,5745213560.149332
资阳市,800.0,8232347.602014093,5745213560.149332
资阳市,820.0,8436870.221862616,5745213560.149332
资阳市,830.0,8643902.372291291,5745213560.149332
资阳市,840.0,8853443.785676947,5745213560.149332
资阳市,850.0,9065494.820545206,5745213560.149332
资阳市,860.0,9280055.345442446,5745213560.149332
资阳市,870.0,9497125.430298744,5745213560.149332
资阳市,880.0,9719708.709902912,5745213560.149332
资阳市,890.0,9941866.421495257,5745213560.149332
资阳市,900.0,10166534.225900875,5745213560.149332
资阳市,910.0,10393712.362243947,5745213560.149332
资阳市,920.0,10623400.668081053,5745213560.149332
资阳市,930.0,10855599.405135851,5745213560.149332
资阳市,940.0,11090308.113050956,5745213560.149332
资阳市,950.0,11327527.29308318,5745213560.149332
资阳市,960.0,11567256.64106087,5745213560.149332
资阳市,970.0,11809496.387012849,5745213560.149332
资阳市,980.0,12054246.246916095,5745213560.149332
资阳市,990.0,12301506.414441355,5745213560.149332
资阳市,1000.0,12551276.725021435,5745213560.149332
资阳市,1010.0,12803557.438935956,5745213560.149332
资阳市,1020.0,13058348.419256564,5745213560.149332
资阳市,1030.0,13315649.544155786,5745213560.149332
资阳市,1040.0,13575461.00583449,5745213560.149332
资阳市,1050.0,13837782.666303573,5745213560.149332
资阳市,1060.0,14102614.697554164,5745213560.149332
资阳市,1070.0,14369956.852083646,5745213560.149332
资阳市,1080.0,14639809.182505064,5745213560.149332
资阳市,1090.0,14915499.290338723,5745213560.149332
资阳市,1100.0,15190433.670307482,5745213560.149332
资阳市,1110.0,15467878.79229411,5745213560.149332
资阳市,1120.0,15747834.82440422,5745213560.149332
资阳市,1130.0,16030301.63277544,5745213560.149332
资阳市,1140.0,16315279.015968034,5745213560.149332
资阳市,1150.0,16602767.331758488,5745213560.149332
资阳市,1160.0,16892766.652025077,5745213560.149332
资阳市,1170.0,17184962.94927464,5745213560.149332
资阳市,1180.0,17475060.428425167,5745213560.149332
资阳市,1190.0,17764646.779646438,5745213560.149332
资阳市,1200.0,18054573.454613835,5745213560.149332
资阳市,1210.0,18345205.718865294,5745213560.149332
资阳市,1220.0,18636750.448076427,5745213560.149332
资阳市,1230.0,18929379.537557077,5745213560.149332
资阳市,1240.0,19223157.352009434,5745213560.149332
资阳市,1250.0,19518185.000483505,5745213560.149332
资阳市,1260.0,19814541.500506464,5745213560.149332
资阳市,1270.0,20112264.681557268,5745213560.149332
资阳市,1280.0,20411387.25500797,5745213560.149332
资阳市,1290.0,20711960.63616927,5745213560.149332
资阳市,1300.0,21014023.163155045,5745213560.149332
资阳市,1310.0,21317605.838471815,5745213560.149332
资阳市,1320.0,21622709.99120084,5745213560.149332
资阳市,1330.0,21929370.897188123,5745213560.149332
资阳市,1340.0,22241422.332196567,5745213560.149332
资阳市,1350.0,22551310.849402893,5745213560.149332
资阳市,1360.0,22862804.70041381,5745213560.149332
资阳市,1370.0,23175927.45955543,5745213560.149332
资阳市,1380.0,23490691.705791462,5745213560.149332
资阳市,1390.0,23807101.806199096,5745213560.149332
资阳市,1400.0,24125177.958004516,5745213560.149332
资阳市,1410.0,24444929.678496134,5745213560.149332
资阳市,1420.0,24766358.491195824,5745213560.149332
资阳市,1430.0,25089479.374520473,5745213560.149332
资阳市,1440.0,25414303.78156298,5745213560.149332
资阳市,1450.0,25740833.16516538,5745213560.149332
资阳市,1460.0,26069073.400897983,5745213560.149332
资阳市,1470.0,26399038.628319446,5745213560.149332
资阳市,1480.0,26730733.353507012,5745213560.149332
资阳市,1490.0,27064157.666136533,5745213560.149332
资阳市,1500.0,27399318.9357521,5745213560.149332
资阳市,1510.0,27736227.048978154,5745213560.149332
资阳市,1520.0,28074886.69993912,5745213560.149332
资阳市,1530.0,28415297.720804445,5745213560.149332
资阳市,1540.0,28757463.81424782,5745213560.149332
资阳市,1550.0,29101393.75657535,5745213560.149332
资阳市,1560.0,29447093.73433851,5745213560.149332
资阳市,1570.0,29794564.06587014,5745213560.149332
资阳市,1580.0,30143804.447943363,5745213560.149332
资阳市,1590.0,30494820.46063468,5745213560.149332
资阳市,1600.0,30847618.673023608,5745213560.149332
资阳市,1610.0,31202203.204196703,5745213560.149332
资阳市,1620.0,31558574.883555446,5745213560.149332
资阳市,1630.0,31916732.862399437,5745213560.149332
资阳市,1640.0,32276680.9905092,5745213560.149332
资阳市,1650.0,32638424.3632281,5745213560.149332
资阳市,1660.0,33006496.63291889,5745213560.149332
资阳市,1670.0,33371885.94400463,5745213560.149332
资阳市,1680.0,33739079.36653093,5745213560.149332
资阳市,1690.0,34105754.68425442,5745213560.149332
资阳市,1700.0,34468873.01241747,5745213560.149332
资阳市,1710.0,34830783.03819673,5745213560.149332
资阳市,1720.0,35192144.84189635,5745213560.149332
资阳市,1730.0,35553306.4139617,5745213560.149332
资阳市,1740.0,35914490.69812286,5745213560.149332
资阳市,1750.0,36275854.64777391,5745213560.149332
资阳市,1760.0,36637507.576433584,5745213560.149332
资阳市,1770.0,36999544.46290724,5745213560.149332
资阳市,1780.0,37362040.110500425,5745213560.149332
资阳市,1790.0,37725055.74463021,5745213560.149332
资阳市,1800.0,38088653.05684023,5745213560.149332
资阳市,1810.0,38452870.54336836,5745213560.149332
资阳市,1820.0,38817751.8723449,5745213560.149332
资阳市,1830.0,39183329.77722521,5745213560.149332
资阳市,1840.0,39549631.61446059,5745213560.149332
资阳市,1850.0,39916693.715122536,5745213560.149332
资阳市,1860.0,40284532.53478676,5745213560.149332
资阳市,1870.0,40653180.93878494,5745213560.149332
资阳市,1880.0,41022658.901888035,5745213560.149332
资阳市,1890.0,41392978.195524916,5745213560.149332
资阳市,1900.0,41764162.920264944,5745213560.149332
资阳市,1910.0,42136226.387174115,5745213560.149332
资阳市,1920.0,42509177.700453445,5745213560.149332
资阳市,1930.0,42883039.775004975,5745213560.149332
资阳市,1940.0,43257828.074207865,5745213560.149332
资阳市,1950.0,43633547.84474411,5745213560.149332
资阳市,1960.0,44010213.78774926,5745213560.149332
资阳市,1970.0,44387840.61324124,5745213560.149332
资阳市,1980.0,44766432.288552985,5745213560.149332
资阳市,1990.0,45145995.09745677,5745213560.149332
资阳市,2000.0,45526541.613859914,5745213560.149332
咸阳市,10.0,4074.8646897562526,10318402022.13794
咸阳市,20.0,16299.445402522972,10318402022.13794
咸阳市,30.0,36673.75757645423,10318402022.13794
咸阳市,40.0,65197.78120733485,10318402022.13794
咸阳市,50.0,101871.5331935981,10318402022.13794
咸阳市,60.0,146695.01421299993,10318402022.13794
咸阳市,70.0,199668.20010633837,10318402022.13794
咸阳市,80.0,260791.10572267312,10318402022.13794
咸阳市,90.0,330063.7483599888,10318402022.13794
咸阳市,100.0,407486.1312667274,10318402022.13794
咸阳市,110.0,493058.23025590286,10318402022.13794
咸阳市,120.0,586780.0411765141,10318402022.13794
咸阳市,130.0,688651.5424609418,10318402022.13794
咸阳市,140.0,798672.7812603107,10318402022.13794
咸阳市,150.0,916843.7891256304,10318402022.13794
咸阳市,160.0,1043164.5052438172,10318402022.13794
咸阳市,170.0,1177634.92250256,10318402022.13794
咸阳市,180.0,1320255.075327699,10318402022.13794
咸阳市,200.0,1479174.651532227,10318402022.13794
咸阳市,220.0,1654393.668233908,10318402022.13794
咸阳市,230.0,1837762.3926588742,10318402022.13794
咸阳市,210.0,2004831.7702789817,10318402022.13794
咸阳市,190.0,2155601.590045298,10318402022.13794
咸阳市,240.0,2347120.0623134077,10318402022.13794
咸阳市,250.0,2546788.327700481,10318402022.13794
咸阳市,260.0,2754606.217515195,10318402022.13794
咸阳市,270.0,2970573.92586527,10318402022.13794
咸阳市,280.0,3194691.2302407473,10318402022.13794
咸阳市,290.0,3426958.3367330683,10318402022.13794
咸阳市,300.0,3667375.164356284,10318402022.13794
咸阳市,310.0,3915941.677081603,10318402022.13794
咸阳市,320.0,4172657.932465416,10318402022.13794
咸阳市,330.0,4437523.956464085,10318402022.13794
咸阳市,340.0,4710538.770888691,10318402022.13794
咸阳市,350.0,4990608.508836752,10318402022.13794
咸阳市,360.0,5277870.760754542,10318402022.13794
咸阳市,370.0,5572631.809459183,10318402022.13794
咸阳市,380.0,5874993.339468293,10318402022.13794
咸阳市,390.0,6184980.129634384,10318402022.13794
咸阳市,400.0,6502551.129489027,10318402022.13794
咸阳市,410.0,6827762.921594175,10318402022.13794
咸阳市,420.0,7160633.585854363,10318402022.13794
咸阳市,430.0,7501213.664719173,10318402022.13794
咸阳市,440.0,7849507.362351721,10318402022.13794
咸阳市,450.0,8205443.894694428,10318402022.13794
咸阳市,460.0,8565283.133843968,10318402022.13794
咸阳市,470.0,8930010.41190133,10318402022.13794
咸阳市,480.0,9300666.000001926,10318402022.13794
咸阳市,490.0,9677546.363359157,10318402022.13794
咸阳市,500.0,10060580.91673489,10318402022.13794
咸阳市,510.0,10447098.754694073,10318402022.13794
咸阳市,520.0,10837455.90292391,10318402022.13794
咸阳市,530.0,11231213.474126633,10318402022.13794
咸阳市,540.0,11626342.850125883,10318402022.13794
咸阳市,550.0,12024273.990198378,10318402022.13794
咸阳市,560.0,12425858.780947393,10318402022.13794
咸阳市,570.0,12831365.071283717,10318402022.13794
咸阳市,580.0,13246254.059730252,10318402022.13794
咸阳市,590.0,13660524.98482034,10318402022.13794
咸阳市,600.0,14079311.732665457,10318402022.13794
咸阳市,610.0,14502722.406299576,10318402022.13794
咸阳市,620.0,14930840.532640444,10318402022.13794
咸阳市,630.0,15363737.18363183,10318402022.13794
咸阳市,640.0,15801483.351282125,10318402022.13794
咸阳市,650.0,16244128.657579627,10318402022.13794
咸阳市,660.0,16691690.722721292,10318402022.13794
咸阳市,670.0,17144197.959083866,10318402022.13794
咸阳市,680.0,17601714.429798182,10318402022.13794
咸阳市,690.0,18062815.467374653,10318402022.13794
咸阳市,700.0,18525525.97765934,10318402022.13794
咸阳市,710.0,18991372.411807757,10318402022.13794
咸阳市,720.0,19466154.636524573,10318402022.13794
咸阳市,730.0,19939479.089503936,10318402022.13794
咸阳市,740.0,20416704.22107123,10318402022.13794
咸阳市,750.0,20897967.07087382,10318402022.13794
咸阳市,760.0,21381893.147145867,10318402022.13794
咸阳市,770.0,21866346.31007659,10318402022.13794
咸阳市,780.0,22350465.73103128,10318402022.13794
咸阳市,790.0,22834086.34810499,10318402022.13794
咸阳市,800.0,23318617.88760201,10318402022.13794
咸阳市,810.0,23804716.69550135,10318402022.13794
咸阳市,820.0,24292597.995950546,10318402022.13794
咸阳市,830.0,24782567.57903866,10318402022.13794
咸阳市,840.0,25274777.671691027,10318402022.13794
咸阳市,850.0,25769288.485285573,10318402022.13794
咸阳市,860.0,26264537.92533683,10318402022.13794
咸阳市,870.0,26758537.86083645,10318402022.13794
咸阳市,880.0,27259695.87068552,10318402022.13794
咸阳市,890.0,27754228.538368657,10318402022.13794
咸阳市,900.0,28249217.14560516,10318402022.13794
咸阳市,910.0,28745037.11819973,10318402022.13794
咸阳市,920.0,29241829.934559178,10318402022.13794
咸阳市,930.0,29739736.984073836,10318402022.13794
咸阳市,940.0,30235727.353370618,10318402022.13794
咸阳市,950.0,30728566.961324673,10318402022.13794
咸阳市,960.0,31220669.778751142,10318402022.13794
咸阳市,970.0,31712665.61177284,10318402022.13794
咸阳市,980.0,32204847.910500914,10318402022.13794
咸阳市,990.0,32695867.96695598,10318402022.13794
咸阳市,1000.0,33183402.699737784,10318402022.13794
咸阳市,1010.0,33669398.22568661,10318402022.13794
咸阳市,1020.0,34154602.54848199,10318402022.13794
咸阳市,1030.0,34639293.080366485,10318402022.13794
咸阳市,1040.0,35123727.91929752,10318402022.13794
咸阳市,1050.0,35608091.65897136,10318402022.13794
咸阳市,1060.0,36092446.121982045,10318402022.13794
咸阳市,1070.0,36576983.31031716,10318402022.13794
咸阳市,1080.0,37061861.32276645,10318402022.13794
咸阳市,1090.0,37553017.99416233,10318402022.13794
咸阳市,1100.0,38038782.37930614,10318402022.13794
咸阳市,1110.0,38525141.15122674,10318402022.13794
咸阳市,1120.0,39012132.85026944,10318402022.13794
咸阳市,1130.0,39496772.47588197,10318402022.13794
咸阳市,1140.0,39978203.15517626,10318402022.13794
咸阳市,1150.0,40457983.31076798,10318402022.13794
咸阳市,1160.0,40936762.55032999,10318402022.13794
咸阳市,1170.0,41414729.45393798,10318402022.13794
咸阳市,1180.0,41889730.61230743,10318402022.13794
咸阳市,1190.0,42359900.280642994,10318402022.13794
咸阳市,1200.0,42827138.1719185,10318402022.13794
咸阳市,1210.0,43292232.806747966,10318402022.13794
咸阳市,1220.0,43755426.5072442,10318402022.13794
咸阳市,1230.0,44217040.39406703,10318402022.13794
咸阳市,1240.0,44677247.405163564,10318402022.13794
咸阳市,1250.0,45136145.23642559,10318402022.13794
咸阳市,1260.0,45593900.755791,10318402022.13794
咸阳市,1270.0,46050585.98039325,10318402022.13794
咸阳市,1280.0,46506246.43842765,10318402022.13794
咸阳市,1290.0,46961007.2328158,10318402022.13794
咸阳市,1300.0,47415006.44727148,10318402022.13794
咸阳市,1310.0,47868309.13807864,10318402022.13794
咸阳市,1320.0,48320935.98421209,10318402022.13794
咸阳市,1330.0,48772917.70108428,10318402022.13794
咸阳市,1340.0,49229982.61117595,10318402022.13794
咸阳市,1350.0,49681154.340562396,10318402022.13794
咸阳市,1360.0,50131967.61384993,10318402022.13794
咸阳市,1370.0,50582461.89043942,10318402022.13794
咸阳市,1380.0,51032668.99149674,10318402022.13794
咸阳市,1390.0,51482623.57596308,10318402022.13794
咸阳市,1400.0,51932354.11649993,10318402022.13794
咸阳市,1410.0,52381901.22452199,10318402022.13794
咸阳市,1420.0,52831289.399802774,10318402022.13794
咸阳市,1430.0,53280456.55480488,10318402022.13794
咸阳市,1440.0,53729391.35101728,10318402022.13794
